new,city,year,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,y1,y5,y7,y9,y10,y11
1,2,15,275.7,3980.41,3354.17,130769,583.78,3989.46,1328.14,1068.1,21918,63.76,432.48,3420.655529,722.8892301,1679.090256,915.4985565,395.5926859,367.9990138
1,2,16,284.68,4098.22,3620.71,136773,586.57,4506.58,1228.84,1233.3,22906,61.69,447.32,3405.674265,870.3382128,1744.324915,882.5197298,431.9578903,429.8472948
1,2,17,302.06,4455.33,3929.1,147537,590.96,4961.39,1270.33,1446.4,25635,61.5,463.31,3515.287925,870.9907392,1297.124736,718.5461924,293.7130582,284.8654855
1,2,18,305.81,5119.45,4416.8,160706,596.93,5009.58,1374.47,1716,29002,63.7,464.51,3226.467412,803.4779608,1621.228309,926.8498134,327.9222762,366.4562194
1,3,1,103.96,709.32,569.28,22342,621.58,376.647,101.535,214.3,7865,153.0785,153,4884.737837,49.9221946,437.7641706,400.0693937,30.56402024,7.130756596
1,3,2,111.457,7935.809,662.976,25074,629.14,463.493,140.913,249.7,8588,134.78,165,4287.374684,129.8732493,756.3627006,677.1072986,19.24309519,60.01230675
1,3,3,114.639,901.823,765.369,28150,636.81,562.337,198.252,294.4,10391,116.5802,169,4643.419561,215.0774214,670.9772649,634.4332388,14.73389462,21.81013144
1,3,4,126.589,1075.781,897.404,32819,642.78,895.209,258.845,325.9,12118,100.2707,189,4154.898191,194.8129716,973.0543787,901.5524395,40.50504898,30.99689023
1,3,5,132.234,1318.225,1092.72,39292,651.68,1108.199,328.541,410.1,13117,106.8009,198,4752.279733,100.0555395,854.2917533,673.2267703,95.67906072,85.38592224
1,3,6,148.21,1494.36,1301.27,44871,660.45,1277.797,410.571,465.1,13539,103.495,219,4266.114017,116.5817587,1343.851086,1136.768875,134.3102608,72.77194997
1,3,7,154.859,1728.391,1560.247,51908,666.31,1373.448,442.653,543.7,14588,107.0661,225,4684.876712,78.74484401,854.4366204,667.5053018,151.712441,35.21887757
1,3,8,163.472,2045.881,1894.659,61315,672.35,1583.778,518.79,630.1,16484,106.9268,247,3364.003888,182.4274734,1718.615303,1600.971428,83.30293698,34.3409379
1,3,9,179.83,2372.581,2236.564,70948,677.64,1882.294,615.406,707.2,16822,110.1555,274,5303.358159,114.5062664,947.8834972,682.6494754,210.21,55.0245618
1,3,10,190.509,2365.765,2555.127,74761,683.38,2195.171,704.675,803.1,16536,107.2434,290,4574.729009,85.8516836,895.3072824,637.08125,194.62,63.61064461
1,3,11,208.41,2819.81,2937.49,86932,689.12,2651.884,956.197,1025.7,19148,100.2517,316,3385.577768,85.91599018,1071.2676,949.6802686,89.11,32.47864712
1,3,12,236.771,3280.521,3519.987,101370,695.71,3100.022,1302.723,1191,21755,97.8057,357,4348.601663,149.406255,1363.196233,1019.781716,153,190.1082816
1,3,13,255.11,3500.13,4078.37,112211,700.52,3722.754,1597.361,1392.3,23243,96.8847,384,2965.417467,137.8814787,1405.649592,1057.048202,238,110.3962699
1,3,14,261.6,3574.25,4562.73,119372,706.61,4263.873,1853.284,1603.7,23884,95.9224,399,3804.207947,160.1417143,1360.886667,784.4670386,234.966266,341.4533624
1,3,15,274.35,3845.58,5086.25,129448,715.76,4952.701,2301.082,1886.3,23202,62.5429,419,3684.92411,164.8457324,1901.986577,1105.599367,278.4556341,517.931576
1,3,16,287.95,3909.01,5853.25,139653,723.55,5556.318,2472.074,2200.7,23800,63.382,440,3572.811361,138.9198417,1257.031722,653.1751444,230.2963307,373.5602467
1,3,17,304.21,4120.93,6888.59,155030,736,5842.419,2606.409,2571.8,25194,45.9143,467,3626.894832,196.2081937,1745.009332,922.4983079,173.4249492,649.0860749
1,3,18,311.08,4362.48,7929.8,169187,753.88,5856.645,2734.005,3041.3,29378,47.2646,458,3067.459126,193.2530903,1751.824209,809.7860078,176.6061376,765.4320641
1,4,1,74.695,420.669,221.481,16586,432.69,247.176,36.15,54.65,5560,144.4149,118,3677.466365,63.04600364,250.566059,234.0315617,15.26980772,1.26468963
1,4,2,76.606,457.204,254.208,18200,433.27,286.549,48.61,63.26,5646,113.1807,121,3199.823557,129.7760853,616.4804405,591.0198546,11.31635254,14.14423337
1,4,3,75.812,513.771,296.477,20443,433.59,367.48,49.09,75.5,6079,100.0057,123,3490.277109,205.0332645,595.991969,567.54295,8.703567589,19.74545147
1,4,4,77.645,611.763,345.811,23869,433.84,535.032,74.47,77.05,6766,83.8295,127,3377.320778,154.7632771,601.1596467,545.14318,37.32269981,18.6937669
1,4,5,86.374,743.164,415.455,28668,434.72,629.101,120.34,90.75,8132,95.3495,129,3185.046858,106.0609822,825.2393867,714.6870857,76.20922312,34.34307786
1,4,6,93.063,869.794,486.948,33336,435.09,676.127,103.33,110.58,8406,96.392,141,3454.872482,91.42205177,652.3802762,517.4835511,95.22308568,39.67363947
1,4,7,97.351,1008.521,576.173,38641,435.5,765.745,128.57,140.08,9014,103.8979,143,3759.388812,104.0822049,781.2582073,630.6410332,112.7551968,37.86197729
1,4,8,105.188,1184.99,688.537,45397,436.24,843.375,178.59,177.36,9852,109.3141,163,3483.127614,187.8580371,997.82136,867.9796865,85.71724624,44.12442722
1,4,9,116.187,1310.837,803.173,51075,437.06,915.748,202.06,204.14,10235,113.8572,178,3472.808012,105.3048241,667.4792057,529.9929835,117.2592902,20.22693206
1,4,10,124.462,1361.172,891.552,54348,437.74,1055.032,210.46,242.25,7612,118.3742,190,3435.848342,90.76042366,476.8538131,347.2940441,117.3573244,12.20244465
1,4,11,149.666,1570.378,1080.359,63889,438.91,1245.56,297.8,305.84,7890,116.3233,226,3133.328474,85.94728464,611.3736391,507.792765,87.85861666,15.72225745
1,4,12,172.095,1834.248,1329.722,75913,440.01,1426.26,403.24,399.6,7694,118.3094,260,3580.347217,144.4443169,766.1225726,575.236046,144.1807332,46.70579339
1,4,13,184.799,1963.111,1512.49,83111,440.83,1722.56,467.71,491.11,8051,120.0558,279,2605.079593,118.0867694,1109.282576,914.7482557,154.6145221,39.91979784
1,4,14,191.143,2097.582,1698.41,90361,441.66,2001.99,536.99,569.25,8560,120.683,291,2957.056977,136.2895436,837.721199,567.2192925,129.5458473,140.9560593
1,4,15,194.283,2213.483,1858.119,96437,443.04,2304.68,613.51,636.73,10091,97.7611,297,2785.800917,120.9259108,1147.599427,833.6978907,130.2356956,183.6658403
1,4,16,198.944,2252.872,2014.149,100796,443.11,2582.84,622.65,746.12,10866,95.0204,303,3082.434582,146.3940416,818.2596845,497.5173474,123.051196,197.6911411
1,4,17,207.657,2398.267,2183.106,107905,444.53,2882.48,641.19,871.14,11134,95.5062,317,2900.457293,181.9571591,1064.411219,730.958844,75.46078975,257.9915856
1,4,18,207.544,2472.504,2398.326,113991,446.48,3115.67,678.07,1006.61,12055,95.8656,316,2740.910683,124.7630127,1169.733822,754.9477326,81.25340418,333.5326849
