year,x9,time,level,trend
2000,10291,1,0,0
2001,10208,2,0,0
2002,10693,3,0,0
2003,11387,4,0,0
2004,12250,5,0,0
2005,13076,6,0,0
2006,14702,7,0,0
2007,16193,8,0,0
2008,17085,9,0,0
2009,23058,10,1,1
2010,24139,11,1,2
2011,23658,12,1,3
2012,25002,13,1,4
2013,26632,14,1,5
2014,31779,15,1,6
2015,32839,16,1,7
2016,36941,17,1,8
2017,41834,18,1,9
