year,x5,time,level,trend
2000,872.2,1,0,0
2001,875.27,2,0,0
2002,878.57,3,0,0
2003,882.03,4,0,0
2004,886.63,5,0,0
2005,891.03,6,0,0
2006,896,7,0,0
2007,901.37,8,0,0
2008,906.16,9,0,0
2009,910.62,10,1,1
2010,915.68,11,1,2
2011,919.45,12,1,3
2012,922.23,13,1,4
2013,926.08,14,1,5
2014,931.92,15,1,6
2015,936.05,16,1,7
2016,943.08,17,1,8
2017,953.3,18,1,9
