year,x3,time,level,trend
2000,594.51,1,0,0
2001,701.27,2,0,0
2002,800.88,3,0,0
2003,956.01,4,0,0
2004,1158.89,5,0,0
2005,1368.2,6,0,0
2006,1602.8,7,0,0
2007,1915.37,8,0,0
2008,2221.95,9,0,0
2009,2485.72,10,1,1
2010,2956.43,11,1,2
2011,3482.49,12,1,3
2012,3961.53,13,1,4
2013,4517.71,14,1,5
2014,4748.34,15,1,6
2015,5148.75,16,1,7
2016,5643.8,17,1,8
2017,6343.85,18,1,9
