year,x1,time,level,trend
2000,154.47,1,0,0
2001,163.6,2,0,0
2002,168.38,3,0,0
2003,178.27,4,0,0
2004,197.34,5,0,0
2005,216.71,6,0,0
2006,227.51,7,0,0
2007,247.99,8,0,0
2008,272.37,9,0,0
2009,291.04,10,1,1
2010,346.13,11,1,2
2011,398.03,12,1,3
2012,419.91,13,1,4
2013,420.03,14,1,5
2014,420.47,15,1,6
2015,423.77,16,1,7
2016,438.97,17,1,8
2017,441.36,18,1,9
