year,x4,time,level,trend
2000,37053,1,0,0
2001,41907,2,0,0
2002,47943,3,0,0
2003,57384,4,0,0
2004,68354,5,0,0
2005,78824,6,0,0
2006,91622,7,0,0
2007,107951,8,0,0
2008,123616,9,0,0
2009,132659,10,1,1
2010,158472,11,1,2
2011,184319,12,1,3
2012,198838,13,1,4
2013,215376,14,1,5
2014,227376,15,1,6
2015,237625,16,1,7
2016,257632,17,1,8
2017,284364,18,1,9
