year,x7,time,level,trend
2000,83.0263,1,0,0
2001,126.9137,2,0,0
2002,173.9559,3,0,0
2003,256.699,4,0,0
2004,361.7937,5,0,0
2005,382.9034,6,0,0
2006,431.6804,7,0,0
2007,470.6328,8,0,0
2008,488.8702,9,0,0
2009,561.6881,10,1,1
2010,827.6589,11,1,2
2011,1138.305,12,1,3
2012,1300.2263,13,1,4
2013,1633.9661,14,1,5
2014,1853.8584,15,1,6
2015,1687.2533,16,1,7
2016,1748.7268,17,1,8
2017,2098.275,18,1,9
