year,x6,time,level,trend
2000,624.4923,1,0,0
2001,775.6942,2,0,0
2002,980.0667,3,0,0
2003,1266.494,4,0,0
2004,1661.6416,5,0,0
2005,1972.0077,6,0,0
2006,2213.3227,7,0,0
2007,2386.58,8,0,0
2008,2617.66,9,0,0
2009,3093.86,10,1,1
2010,3523.25,11,1,2
2011,3873.77,12,1,3
2012,4543.73,13,1,4
2013,5333.1,14,1,5
2014,6210.67,15,1,6
2015,7020.4,16,1,7
2016,7751.55,17,1,8
2017,8019.22,18,1,9
