year,x11,time,level,trend
2000,243.0249,1,0,0
2001,258.7882,2,0,0
2002,264.1921,3,0,0
2003,288.5363,4,0,0
2004,323.1394,5,0,0
2005,347.0773,6,0,0
2006,348.4567,7,0,0
2007,401.8437,8,0,0
2008,443.3102,9,0,0
2009,469.7452,10,1,1
2010,553.467,11,1,2
2011,641.7565,12,1,3
2012,673.6602,13,1,4
2013,684.3876,14,1,5
2014,681.5972,15,1,6
2015,683.9383,16,1,7
2016,693.6536,17,1,8
2017,691.499,18,1,9
