year,x10,time,level,trend
2000,285.5713,1,0,0
2001,252.8584,2,0,0
2002,227.6362,3,0,0
2003,193.2947,4,0,0
2004,208.7203,5,0,0
2005,199.5152,6,0,0
2006,210.1358,7,0,0
2007,200.8867,8,0,0
2008,211.5163,9,0,0
2009,213.7231,10,1,1
2010,211.4951,11,1,2
2011,213.8757,12,1,3
2012,209.5286,13,1,4
2013,199.6219,14,1,5
2014,186.0962,15,1,6
2015,183.8286,16,1,7
2016,178.4733,17,1,8
2017,186.6054,18,1,9
