year,x2,time,level,trend
2000,919.62,1,0,0
2001,1034.54,2,0,0
2002,1208.72,3,0,0
2003,1476.11,4,0,0
2004,1755.83,5,0,0
2005,2022.78,6,0,0
2006,2389.32,7,0,0
2007,2841.21,8,0,0
2008,3271.99,9,0,0
2009,3471.91,10,1,1
2010,4193.89,11,1,2
2011,4882.42,12,1,3
2012,5115.18,13,1,4
2013,5389.83,14,1,5
2014,5794.08,15,1,6
2015,5948.9,16,1,7
2016,6465.83,17,1,8
2017,7437.37,18,1,9
